Votes,Macron,Le Pen
Ain,60.94,39.06
Aisne,47.09,52.91
Allier,63.9,36.1
Alpes-de-Haute-Provence,58.46,41.54
Alpes-Maritimes,55.35,44.65
Ardennes,50.73,49.27
Ardèche,62.37,37.63
Ariège,63.09,36.91
Aube,54.15,45.85
Aude,55.33,44.67
Aveyron,72.81,27.19
Bas-Rhin,63.07,36.93
Bouches-du-Rhône,57.85,42.15
Calvados,67.11,32.89
Cantal,69.83,30.17
Charente,65.49,34.51
Charente-Maritime,64.84,35.16
Cher,61.17,38.83
Corrèze,71,29
Corse-du-Sud,50.59,49.41
Creuse,65.76,34.24
Côte-d'Or,64.17,35.83
Côtes-d'Armor,73.47,26.53
Deux-Sèvres,71.54,28.46
Dordogne,64.27,35.73
Doubs,63.77,36.23
Drôme,62.62,37.38
Essonne,72.18,27.82
Eure,54.35,45.65
Eure-et-Loir,60.27,39.73
Finistère,77.33,22.67
French Guiana,64.89,35.11
French Polynesia,58.39,41.61
French residents overseas,89.31,10.69
Gard,54.75,45.25
Gers,66.91,33.09
Gironde,70.06,29.94
Guadeloupe,75.13,24.87
Haut-Rhin,57.97,42.03
Haute-Corse,52.28,47.72
Haute-Garonne,72.38,27.62
Haute-Loire,63.35,36.65
Haute-Marne,50.48,49.52
Haute-Savoie,68.66,31.34
Haute-Saône,51.71,48.29
Haute-Vienne,70.95,29.05
Hautes-Alpes,64.12,35.88
Hautes-Pyrénées,68.19,31.81
Hauts-de-Seine,85.65,14.35
Hérault,59.22,40.78
Ille-et-Vilaine,77.67,22.33
Indre,60.98,39.02
Indre-et-Loire,69.23,30.77
Isère,65.81,34.19
Jura,61.37,38.63
Landes,68.74,31.26
Loir-et-Cher,60.47,39.53
Loire,63.86,36.14
Loire-Atlantique,77.17,22.83
Loiret,63.16,36.84
Lot,72.18,27.82
Lot-et-Garonne,59.47,40.53
Lozère,67.03,32.97
Maine-et-Loire,72.82,27.18
Manche,67.23,32.77
Marne,57.01,42.99
Martinique,77.55,22.45
Mayenne,72.02,27.98
Mayotte,57.11,42.89
Meurthe-et-Moselle,60.66,39.34
Meuse,51.62,48.38
Morbihan,71.56,28.44
Moselle,57.66,42.34
New Caledonia,52.57,47.43
Nièvre,59.92,40.08
Nord,56.9,43.1
Oise,53.28,46.72
Orne,61.64,38.36
Paris,89.68,10.32
Pas-de-Calais,47.94,52.06
Puy-de-Dôme,71.34,28.66
Pyrénées-Atlantiques,74.81,25.19
Pyrénées-Orientales,52.84,47.16
Rhône,73.59,26.41
Réunion,60.25,39.75
Saint Martin/Saint Barthélemy,65.03,34.97
Saint Pierre and Miquelon,63.29,36.71
Sarthe,63.33,36.67
Savoie,64.74,35.26
Saône-et-Loire,61.63,38.37
Seine-et-Marne,63.86,36.14
Seine-Maritime,60.42,39.58
Seine-Saint-Denis,78.82,21.18
Somme,54.22,45.78
Tarn,63.61,36.39
Tarn-et-Garonne,57.52,42.48
Territoire de Belfort,58.18,41.82
Val-d'Oise,72.53,27.47
Val-de-Marne,80.32,19.68
Var,50.85,49.15
Vaucluse,53.45,46.55
Vendée,69.96,30.04
Vienne,68.77,31.23
Vosges,55.26,44.74
Wallis and Futuna,79.14,20.86
Yonne,55.04,44.96
Yvelines,77.15,22.85
,,
,,
,,
