,ID,ID collecteur,Date de début,Date de fin,Q1,Q3,Q4,Q4-text,Q5,Q5-text,Q6,Q6-text,Q7,Q8,Q9,Q10,Q11,Q12
0,6189761401,156443487,2017-05-09 23:01:30,2017-05-09 23:04:21,Non,Macron,Non,,Cela dépend du candidat,,Emmanuel Macron,,,,,,,
1,6185182074,156443487,2017-05-06 22:07:12,2017-05-06 22:09:50,Oui,Le Pen,Oui,,Pas sûr,,Marine Le Pen,,Le Pen,On verra,Non,Oui,Oui,Oui
2,6185012445,156443487,2017-05-06 16:36:46,2017-05-06 16:45:08,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,Une élection majoritairement d'opposition à un partie encore  catalogué par son passé. Un  président élu ne signifie pas des actions libres. ,Oui,Une colère et un râle bol général des conditions de vie contribue à une tendance forcément radicalisé.,Non,"La radicalité  n'est pas une solution en soit à long  terme, en revanche un ordre rétabli ne ferai  pas de mal  à l'ensemble  de la population  en complainte permanente sans pour autant reconnaître la responsabilité de chacun. "
3,6184748911,156443487,2017-05-06 09:03:49,2017-05-06 09:11:30,Non,Melenchon,Non,,Autre (veuillez préciser),Je ne me suis pas inscrit,Blanc,Je n'apprécie ni lun ni l'autre ,,,,,,
4,6184653695,156443487,2017-05-06 04:46:44,2017-05-06 04:54:53,Oui,Fillon,Oui,,Très sûr,,Emmanuel Macron,,Macron,La France n'est pas prête d'accueillir une femme au pouvoir et encore moins quelqu'un de l'extrémisme ,Oui,,Non,Je pense que les 2 candidats n'aideront pas la France. Aujourdhui nous votons entre la peste et le choléra. Dur de faire 1 choix mais les valeurs de la France doivent continuer... entre autre la fraternité et c'est pas le FN qui défend ca
5,6184605618,156443487,2017-05-06 02:53:47,2017-05-06 02:57:22,Non,Macron,Non,,Je ne sais pas,,Blanc,Le blanc c mieux,,,,,,
6,6184404367,156443487,2017-05-05 22:06:23,2017-05-05 22:12:23,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,Macron,Mr Macron veut une france unie alors que Mme le pen fait tout pour que la france perde son estime et voudrais éloigné la france de l'UE ce qui est absurde car l'UE sans la france n'est pas l'UE ,Oui,"Ils sont tous d'accord, ils veulent pouvoir avoir un espoir qu'un échec ",Oui,"Il a des propos logiques d'autre non, mais il saura diriger le pays j'en suis certaine "
7,6184403381,156443487,2017-05-05 22:04:23,2017-05-05 22:06:47,Non,Macron,Non,,Je ne sais pas,,Emmanuel Macron,,,,,,,
8,6184357601,156443487,2017-05-05 21:23:00,2017-05-05 21:25:53,Oui,Macron,Autre (veuillez préciser),Macron,Autre (veuillez préciser),Macron,Blanc,Macron,Macron,Macron ,Oui,Macron,Non,Macron
9,6184355048,156443487,2017-05-05 21:21:57,2017-05-05 21:36:14,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,"A mon avis c'est Emanuel Macron qui va remporter cette election car Marine Lepen représente le front national et qu'elle est la fille de Jean-Marie Lepen ancien candidat dont les idées portées trop loin et une ""peur"" du front national s'est instaurée ",Oui,Mes amis pensent également que Emanuel Macron va remportet cette election car il semblerait que dans les médias se soit le candidat le plus soutenu.,Oui,Marine Lepen a l'air et je dit bien l'air de vouloir s'interesser a la population française trop longtemps oubliée tellement longtemps oublié que des familles sont décimées en allant voir un concert ou un feu d'artifice et de plus la france n'a jamais etait gouverné par le fn et quand on voit les resultats des précédent partis aprés tout pourquoi pas. Mr Macron n'a l'air de s'interesser qu'a remplir son compte en banque de chez rotschild
