,ID,ID collecteur,Date de début,Date de fin,Q1,Q3,Q4,Q4-text,Q5,Q5-text,Q6,Q6-text,Q7,Q8,Q9,Q10,Q11,Q12,Q8-en,Q10-en,Q12-en,Q4-en,Q5-en,Q6-en
0,6189761401,156443487,2017-05-09 23:01:30,2017-05-09 23:04:21,Non,Macron,Non,,Cela dépend du candidat,,Emmanuel Macron,,,,,,,,,,,,,
1,6185182074,156443487,2017-05-06 22:07:12,2017-05-06 22:09:50,Oui,Le Pen,Oui,,Pas sûr,,Marine Le Pen,,Le Pen,On verra,Non,Oui,Oui,Oui,It will,Yes,Yes,,,
2,6185012445,156443487,2017-05-06 16:36:46,2017-05-06 16:45:08,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,Une élection majoritairement d'opposition à un partie encore  catalogué par son passé. Un  président élu ne signifie pas des actions libres. ,Oui,Une colère et un râle bol général des conditions de vie contribue à une tendance forcément radicalisé.,Non,"La radicalité  n'est pas une solution en soit à long  terme, en revanche un ordre rétabli ne ferai  pas de mal  à l'ensemble  de la population  en complainte permanente sans pour autant reconnaître la responsabilité de chacun. ",A majority of opposition to an election party still cataloged by its past. A president elected does not mean free actions. ,An anger and a rattle bowl general living conditions contributes to a trend necessarily radicalized.,"The radicalism is not a solution for long term, however an order restored will not hurt the entire population lament Permanent without recognizing the responsibility of each. ",,,
3,6184748911,156443487,2017-05-06 09:03:49,2017-05-06 09:11:30,Non,Melenchon,Non,,Autre (veuillez préciser),Je ne me suis pas inscrit,Blanc,Je n'apprécie ni lun ni l'autre ,,,,,,,,,,,I am not registered,I appreciate nor sun nor the other 
4,6184653695,156443487,2017-05-06 04:46:44,2017-05-06 04:54:53,Oui,Fillon,Oui,,Très sûr,,Emmanuel Macron,,Macron,La France n'est pas prête d'accueillir une femme au pouvoir et encore moins quelqu'un de l'extrémisme ,Oui,,Non,Je pense que les 2 candidats n'aideront pas la France. Aujourdhui nous votons entre la peste et le choléra. Dur de faire 1 choix mais les valeurs de la France doivent continuer... entre autre la fraternité et c'est pas le FN qui défend ca,France is not ready to host a woman in power and even less someone from extremism ,,I think the 2 candidates will not France. Today we vote between the plague and cholera. Dur 1 choice but the values of France must continue ... between other fraternity and it is not the FN defends it,,,
5,6184605618,156443487,2017-05-06 02:53:47,2017-05-06 02:57:22,Non,Macron,Non,,Je ne sais pas,,Blanc,Le blanc c mieux,,,,,,,,,,,,The white c better
6,6184404367,156443487,2017-05-05 22:06:23,2017-05-05 22:12:23,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,Macron,Mr Macron veut une france unie alors que Mme le pen fait tout pour que la france perde son estime et voudrais éloigné la france de l'UE ce qui est absurde car l'UE sans la france n'est pas l'UE ,Oui,"Ils sont tous d'accord, ils veulent pouvoir avoir un espoir qu'un échec ",Oui,"Il a des propos logiques d'autre non, mais il saura diriger le pays j'en suis certaine ",Mr Macron wants a united france while Ms. pen is all that the france loses his believes and remote like the EU france which is absurd because the EU without the france is not the EU ,"They are all agree, they want to have a hope that a failure ","He has another logical connection not, but it will lead the country I am sure ",,,
7,6184403381,156443487,2017-05-05 22:04:23,2017-05-05 22:06:47,Non,Macron,Non,,Je ne sais pas,,Emmanuel Macron,,,,,,,,,,,,,
8,6184357601,156443487,2017-05-05 21:23:00,2017-05-05 21:25:53,Oui,Macron,Autre (veuillez préciser),Macron,Autre (veuillez préciser),Macron,Blanc,Macron,Macron,Macron ,Oui,Macron,Non,Macron,Macron ,Macron,Macron,Macron,Macron,Macron
9,6184355048,156443487,2017-05-05 21:21:57,2017-05-05 21:36:14,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Macron,"A mon avis c'est Emanuel Macron qui va remporter cette election car Marine Lepen représente le front national et qu'elle est la fille de Jean-Marie Lepen ancien candidat dont les idées portées trop loin et une ""peur"" du front national s'est instaurée ",Oui,Mes amis pensent également que Emanuel Macron va remportet cette election car il semblerait que dans les médias se soit le candidat le plus soutenu.,Oui,Marine Lepen a l'air et je dit bien l'air de vouloir s'interesser a la population française trop longtemps oubliée tellement longtemps oublié que des familles sont décimées en allant voir un concert ou un feu d'artifice et de plus la france n'a jamais etait gouverné par le fn et quand on voit les resultats des précédent partis aprés tout pourquoi pas. Mr Macron n'a l'air de s'interesser qu'a remplir son compte en banque de chez rotschild,"I think it is Emanuel Macron who will win this election because Navy Lepen represents the national front and that it is the daughter of Jean-Marie Lepen former candidate whose ideas laid too far and a ""fear"" of the national front is established ",My friends also believe that Emanuel Macron will remportet this election because it would appear that in the media is the most candidate supported.,Navy Lepen has air and I said well air trying to interest the French population too long forgotten so long forgotten that families are decimated by going to see a concert or a fireworks and more france never was governed by the fn and when we see the results of previous parties after all why not. Mr Macron has the air that always has to complete his bank account in rotschild,,,
